,acc,loss,val_acc,val_loss
15,0.9975447621592731,0.00763582465470051,0.9497,0.8019043199539189
16,0.9970770978086585,0.009439251057654986,0.9463,0.8606012302233724
17,0.9977284874398717,0.007629342483758573,0.9407,0.9495214826583864
18,0.9967263495456975,0.0099603176965761,0.9455,0.8728873960494998
19,0.9967096472474613,0.009564257608912972,0.9469,0.8502503557205208
20,0.9978621058257616,0.006360831029530356,0.9628,0.5973606132030498
21,0.9970938001068947,0.009094379374220661,0.9463,0.8650198884963997
22,0.9970269909139498,0.00924774416977183,0.9137,1.3800863920211794
23,0.9981293425656843,0.005426900690294889,0.9426,0.9216577373504641
24,0.9978621058257616,0.006747956532917636,0.9326,1.0768352621078494
25,0.9975280598610369,0.007703993513794515,0.9057,1.5149529489517213
26,0.9976950828433993,0.006887240103676892,0.9101,1.445039644241333
27,0.9976616782469268,0.00805651025818014,0.9432,0.906995094108582
28,0.9979957242116515,0.006068946536494042,0.9196,1.2905357065200806
29,0.9973443345804383,0.007893127699570223,0.9147,1.3665982656478883
30,0.997678380545163,0.008060022208436681,0.9533,0.7497151519034502
31,0.9979122127204704,0.006721288567636909,0.9119,1.4156413270950319
32,0.9982462586851951,0.005511350159460702,0.885,1.8488620767593384
33,0.9977284874398717,0.006888872947178984,0.8993,1.6153445878982544
34,0.9980124265098878,0.006462152831130357,0.9108,1.4318965103149415
35,0.9983464724746125,0.006205690101375317,0.9254,1.1976370386123658
36,0.9979289149868494,0.006923997365521463,0.9181,1.317208550834656
37,0.9979289150187066,0.006361065203940037,0.8561,2.309163808631897
38,0.9983965793693212,0.004561101004923936,0.8983,1.6267760023117066
39,0.9977618920363442,0.00720406341320302,0.9189,1.299524028968811
40,0.9987473276322822,0.003960908759723924,0.947,0.849676821625663
41,0.998379877071085,0.005096494650195577,0.9075,1.4858240716934203
42,0.9984308226495726,0.0047916667723282725,0.9327,1.0835167978286746
43,0.9977774064171123,0.00744037135927427,0.9212,1.268570572090149
44,0.9986137092145352,0.00475857445571955,0.9371,1.010134984016419
45,0.998029128808124,0.006269814738797012,0.9236,1.2254944292068484
46,0.9981794494922501,0.005738026153721754,0.921,1.2663981729507445
47,0.9981804220085471,0.006561654650545546,0.9197,1.2876050107955932
48,0.9988636363636364,0.003899733928545522,0.907,1.4935336519241333
49,0.9985970069481561,0.005161966891109176,0.9164,1.3395895555496218
50,0.9986805184393373,0.005013706223371457,0.9137,1.383927649307251
51,0.9988976483164084,0.004029807401669354,0.9341,1.0580417383193974
52,0.9986972207375735,0.0037945631000151168,0.9376,0.9993927293777469
53,0.9982295563869589,0.005729774533878972,0.9381,0.9950868381500246
54,0.9981794494922501,0.006624791523957043,0.906,1.5060971879959106
55,0.9984466862640299,0.005149672820902584,0.9223,1.245653192329407
56,0.9984800908605024,0.004849562636579717,0.8965,1.661739257621765
57,0.9987807322287546,0.0040712464169972585,0.926,1.1896029581844811
58,0.9977618920363442,0.007693502634699822,0.9287,1.1469555128097537
59,0.9989310529128808,0.003517959134154012,0.8813,1.9041091798782348
60,0.9984800908605024,0.004851704641803512,0.9062,1.504040027809143
61,0.9985643696581197,0.004978854606380283,0.8713,2.0701231088638306
62,0.9990641711229946,0.0036804213270338576,0.865,2.16804343662262
63,0.9984466862640299,0.005723656216340975,0.902,1.5770414102554322
64,0.9983631747409917,0.005459150241615124,0.9093,1.4593099956512452
65,0.9985970069481561,0.0052537276395251825,0.8936,1.7093514848709106
66,0.9987807322287546,0.004275531415854853,0.8966,1.6635109064102174
67,0.998663816141101,0.004505429369498955,0.8781,1.9614640314102172
68,0.998379877071085,0.006259910858932599,0.8811,1.91030427570343
69,0.9983464724746125,0.006052598147852661,0.8988,1.6264279550552367
70,0.9989978621058258,0.0033617742509873334,0.8463,2.471131368255615
71,0.9984299839339366,0.006236498057223746,0.9054,1.5203195447921753
72,0.9993319080705505,0.0025175446000843048,0.9208,1.272157207298279
73,0.9990150908119658,0.0033312854658424378,0.8478,2.4498475633621215
74,0.9983965793693212,0.005515711653178437,0.8927,1.7234002527236938
